A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
4153;acabado:Color:0;NEGRO:0;00006009060000;0;0;1;0;0
4153;acabado:Color:0;ROJO:0;00006009070000;0;0;1;0;0
191380;color:Color:0;natural:0;00103000000008;0;0;1;0;0
191380;color:Color:0;negro:0;00103000000009;0;0;1;0;0
191380;color:Color:0;blanco:0;00103000000010;0;0;1;0;0
191380;color:Color:0;gris:0;00103000000011;0;0;1;0;0
191384;color:Color:0;natural:0;00103000000012;0;0;1;0;0
191384;color:Color:0;negro:0;00103000000013;0;0;1;0;0
191384;color:Color:0;blanco:0;00103000000014;0;0;1;0;0
191384;color:Color:0;gris:0;00103000000015;0;0;1;0;0
191388;color:Color:0;natural:0;00102000000006;0;0;1;0;0
191388;color:Color:0;negro:0;00102000000007;0;0;1;0;0
191388;color:Color:0;blanco:0;00102000000008;0;0;1;0;0
191388;color:Color:0;vintage:0;00102000000009;0;0;1;0;0
191392;color:Color:0;natural:0;00102000000010;0;0;1;0;0
191392;color:Color:0;blanco:0;00102000000011;0;0;1;0;0
191430;tapizado:Color:0;negro:0;00026000000350;0;0;1;0;0
191430;tapizado:Color:0;negro/rojo:0;00026000000351;0;0;1;0;0
191430;tapizado:Color:0;negro/azul:0;00026000000352;0;0;1;0;0
191433;tapizado:Color:0;negro/gris:0;00026000000353;0;0;1;0;0
191433;tapizado:Color:0;negro/blanco:0;00026000000354;0;0;1;0;0
191433;tapizado:Color:0;negro/rojo:0;00026000000355;0;0;1;0;0
191433;tapizado:Color:0;negro/azul:0;00026000000356;0;0;1;0;0
191433;tapizado:Color:0;negro/amarillo:0;00026000000357;0;0;1;0;0
191436;;;00026000000358;0;0;1;1;0
191439;tapizado:Color:0;azul:0;00026000000359;0;0;1;0;0
191439;tapizado:Color:0;rojo:0;00026000000360;0;0;1;0;0
191439;tapizado:Color:0;gris:0;00026000000361;0;0;1;0;0
54733;color:Color:0;blanco:0;00011008020000;0;0;1;0;0
54733;color:Color:0;negro:0;00011008020001;0;0;1;0;0
54733;color:Color:0;plata:0;00011008050000;0;0;1;0;0
191440;;;00011000000018;0;0;1;1;0
54737;color:Color:0;blanco:0;00011009050000;0;0;1;0;0
54737;color:Color:0;plata:0;00011009050001;0;0;1;0;0
54737;color:Color:0;negro:0;00011000000019;0;0;1;0;0
191442;;;00011000000020;0;0;1;1;0
191458;color:Color:0;blanco:0;00100000000009;0;0;1;0;0
191458;color:Color:0;negro:0;00100000000010;0;0;1;0;0
191461;color:Color:0;blanco:0;00100000000011;0;0;1;0;0
191461;color:Color:0;negro:0;00100000000012;0;0;1;0;0
191463;acabado:Color:0;blanco:0;00100000000013;0;0;1;0;0
191463;acabado:Color:0;negro:0;00100000000014;0;0;1;0;0
191464;;;00100000000015;0;0;1;1;0
191465;;;00100000000016;0;0;1;1;0
191466;;;00100000000017;0;0;1;1;0
191480;tapizado:Color:0;piedra:0;00101000000026;0;0;1;0;0
191480;tapizado:Color:0;chocolate:0;00101000000027;0;0;1;0;0
191486;acabado:Color:0;negro:0;00008000000005;0;0;1;0;0
191486;acabado:Color:0;blanco:0;00008000000006;0;0;1;0;0
191486;acabado:Color:0;chocolate:0;00008000000007;0;0;1;0;0
191486;acabado:Color:0;gris plomo:0;00008000000008;0;0;1;0;0
191491;acabado:Color:0;negro:0;00008000000009;0;0;1;0;0
