,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1603,Talla:select:0,XXL:0,0,500,1
1604,Talla:select:0,XS:0,0,500,1
1604,Talla:select:0,S:0,0,500,1
1604,Talla:select:0,M:0,1,500,1
1604,Talla:select:0,L:0,0,500,1
1604,Talla:select:0,XL:0,0,500,1
1604,Talla:select:0,XXL:0,0,500,1
1605,Talla:select:0,XS:0,0,500,1
1605,Talla:select:0,S:0,0,500,1
1605,Talla:select:0,M:0,1,500,1
1605,Talla:select:0,L:0,0,500,1
1605,Talla:select:0,XL:0,0,500,1
1605,Talla:select:0,XXL:0,0,500,1
1606,Talla:select:0,XS:0,0,500,1
1606,Talla:select:0,S:0,0,500,1
1606,Talla:select:0,M:0,1,500,1
1606,Talla:select:0,L:0,0,500,1
1606,Talla:select:0,XL:0,0,500,1
1606,Talla:select:0,XXL:0,0,500,1
1607,Talla:select:0,XS:0,0,500,1
1607,Talla:select:0,S:0,0,500,1
1607,Talla:select:0,M:0,1,500,1
1607,Talla:select:0,L:0,0,500,1
1607,Talla:select:0,XL:0,0,500,1
1607,Talla:select:0,XXL:0,0,500,1
1608,Talla:select:0,XS:0,0,500,1
1608,Talla:select:0,S:0,0,500,1
1608,Talla:select:0,M:0,1,500,1
1608,Talla:select:0,L:0,0,500,1
1608,Talla:select:0,XL:0,0,500,1
1608,Talla:select:0,XXL:0,0,500,1
1609,Talla:select:0,XS:0,0,500,1
1609,Talla:select:0,S:0,0,500,1
1609,Talla:select:0,M:0,1,500,1
1609,Talla:select:0,L:0,0,500,1
1609,Talla:select:0,XL:0,0,500,1
1609,Talla:select:0,XXL:0,0,500,1
1610,Talla:select:0,XS:0,0,500,1
1610,Talla:select:0,S:0,0,500,1
1610,Talla:select:0,M:0,1,500,1
1610,Talla:select:0,L:0,0,500,1
1610,Talla:select:0,XL:0,0,500,1
1610,Talla:select:0,XXL:0,0,500,1
1611,Talla:select:0,XS:0,0,500,1
1611,Talla:select:0,S:0,0,500,1
1611,Talla:select:0,M:0,1,500,1
1611,Talla:select:0,L:0,0,500,1
1611,Talla:select:0,XL:0,0,500,1
1611,Talla:select:0,XXL:0,0,500,1
1612,Talla:select:0,XS:0,0,500,1
1612,Talla:select:0,S:0,0,500,1
1612,Talla:select:0,M:0,1,500,1
1612,Talla:select:0,L:0,0,500,1
1612,Talla:select:0,XL:0,0,500,1
1612,Talla:select:0,XXL:0,0,500,1
1613,Talla:select:0,XS:0,0,500,1
1613,Talla:select:0,S:0,0,500,1
1613,Talla:select:0,M:0,1,500,1
1613,Talla:select:0,L:0,0,500,1
1613,Talla:select:0,XL:0,0,500,1
1613,Talla:select:0,XXL:0,0,500,1
1614,Talla:select:0,XS:0,0,500,1
1614,Talla:select:0,S:0,0,500,1
1614,Talla:select:0,M:0,1,500,1
1614,Talla:select:0,L:0,0,500,1
1614,Talla:select:0,XL:0,0,500,1
1614,Talla:select:0,XXL:0,0,500,1
1615,Talla:select:0,XS:0,0,500,1
1615,Talla:select:0,S:0,0,500,1
1615,Talla:select:0,M:0,1,500,1
1615,Talla:select:0,L:0,0,500,1
1615,Talla:select:0,XL:0,0,500,1
1615,Talla:select:0,XXL:0,0,500,1
1616,Talla:select:0,XS:0,0,500,1
1616,Talla:select:0,S:0,0,500,1
1616,Talla:select:0,M:0,1,500,1
1616,Talla:select:0,L:0,0,500,1
1616,Talla:select:0,XL:0,0,500,1
1616,Talla:select:0,XXL:0,0,500,1
1617,Talla:select:0,XS:0,0,500,1
